time,v(vin),v(vout),i(input),i(r1)
0.000046732374999999924,1,0.3717538691502796,-0.0006282461308497204,0.0006282461308497204
0.00004723237499999992,1,0.3748872663116248,-0.0006251127336883752,0.0006251127336883753
0.00004773237499999992,1,0.37800503555695325,-0.0006219949644430468,0.0006219949644430466
0.00004823237499999992,1,0.3811072548309834,-0.0006188927451690166,0.0006188927451690166
0.00004873237499999992,1,0.38419400168968176,-0.0006158059983103182,0.0006158059983103183
0.00004923237499999992,1,0.387265353302202,-0.0006127346466977979,0.0006127346466977979
0.000049732374999999915,1,0.39032138645281445,-0.0006096786135471855,0.0006096786135471856
0.000050232374999999914,1,0.3933621775428253,-0.0006066378224571747,0.0006066378224571747
0.00005073237499999991,1,0.396387802592487,-0.000603612197407513,0.0006036121974075131
0.00005123237499999991,1,0.3993983372428985,-0.0006006016627571015,0.0006006016627571015
0.00005173237499999991,1,0.40239385675789646,-0.0005976061432421036,0.0005976061432421036
0.00005223237499999991,1,0.4053744360259368,-0.0005946255639740632,0.0005946255639740632
0.00005273237499999991,1,0.40834014956196696,-0.0005916598504380331,0.0005916598504380331
0.000053232374999999906,1,0.41129107150928873,-0.0005887089284907113,0.0005887089284907113
0.000053732374999999904,1,0.41422727564141193,-0.0005857727243585881,0.0005857727243585881
0.0000542323749999999,1,0.41714883536389863,-0.0005828511646361013,0.0005828511646361014
0.0000547323749999999,1,0.4200558237161984,-0.0005799441762838016,0.0005799441762838016
0.0000552323749999999,1,0.42294831337347416,-0.0005770516866265259,0.0005770516866265258
0.0000557323749999999,1,0.42582637664841944,-0.0005741736233515805,0.0005741736233515806
0.0000562323749999999,1,0.4286900854930657,-0.0005713099145069343,0.0005713099145069343
0.000056732374999999896,1,0.4315395115005815,-0.0005684604884994184,0.0005684604884994184
0.000057232374999999894,1,0.4343747259070624,-0.0005656252740929376,0.0005656252740929376
0.00005773237499999989,1,0.43719579959331145,-0.0005628042004066885,0.0005628042004066885
0.00005823237499999989,1,0.44000280308661166,-0.0005599971969133884,0.0005599971969133884
0.00005873237499999989,1,0.44279580656248896,-0.0005572041934375111,0.0005572041934375111
0.00005923237499999989,1,0.4455748798464666,-0.0005544251201535335,0.0005544251201535334
0.00005973237499999989,1,0.4483400924158109,-0.0005516599075841891,0.000551659907584189
0.000060232374999999886,1,0.4510915134012682,-0.0005489084865987319,0.0005489084865987318
