frequency,v(vin)_re,v(vin)_im,v(vout)_re,v(vout)_im,i(input)_re,i(input)_im,i(r1)_re,i(r1)_im
562341.3251903445,1,0,0.000008010078726474548,-0.0028301969127806892,-0.0009999919899212736,-0.0000028301969127806893,0.0009999919899212734,0.0000028301969127806893
630957.344480188,1,0,0.000006362642176919019,-0.002522419809172047,-0.000999993637357823,-0.000002522419809172047,0.000999993637357823,0.000002522419809172047
707945.7843841319,1,0,0.000005054032942361953,-0.002248111963206675,-0.0009999949459670577,-0.000002248111963206675,0.0009999949459670577,0.000002248111963206675
794328.2347242747,1,0,0.0000040145652383724005,-0.002003633978958819,-0.0009999959854347616,-0.000002003633978958819,0.0009999959854347616,0.000002003633978958819
891250.9381337379,1,0,0.000003188885151989177,-0.0017857421378801208,-0.000999996811114848,-0.0000017857421378801208,0.000999996811114848,0.0000017857421378801208
999999.9999999914,1,0,0.000002533023174835831,-0.0015915453994873746,-0.0009999974669768251,-0.0000015915453994873747,0.0009999974669768251,0.0000015915453994873747
1122018.4543019538,1,0,0.0000020120528752049392,-0.0014184670693562706,-0.0009999979879471248,-0.0000014184670693562707,0.0009999979879471248,0.0000014184670693562707
1258925.4117941563,1,0,0.0000015982310699173781,-0.0012642106294343618,-0.0009999984017689302,-0.000001264210629434362,0.00099999840176893,0.000001264210629434362
1412537.5446227419,1,0,0.0000012695204817543253,-0.0011267292798503425,-0.0009999987304795182,-0.0000011267292798503425,0.0009999987304795182,0.0000011267292798503425
1584893.1924610995,1,0,0.000001008416226520266,-0.001004198789890219,-0.0009999989915837734,-0.000001004198789890219,0.0009999989915837734,0.000001004198789890219
1778279.4100389068,1,0,0.0000008010136472115938,-0.0008949932991864972,-0.000999999198986353,-0.0000008949932991864971,0.000999999198986353,0.0000008949932991864971
1995262.3149688616,1,0,0.0000006362678612021594,-0.0007976637489352066,-0.000999999363732139,-0.0000007976637489352066,0.000999999363732139,0.0000007976637489352066
2238721.1385683194,1,0,0.000000505405593139061,-0.0007109186575862582,-0.0009999994945944068,-0.0000007109186575862581,0.0009999994945944068,0.0000007109186575862581
2511886.431509557,1,0,0.00000040145797434854607,-0.0006336069863724996,-0.0009999995985420257,-0.0000006336069863724997,0.0009999995985420257,0.0000006336069863724997
2818382.931264428,1,0,0.0000003188894304105108,-0.0005647028676392939,-0.0009999996811105695,-0.0000005647028676392939,0.0009999996811105695,0.0000005647028676392939
3162277.66016835,1,0,0.0000002533028949434762,-0.0005032919935595236,-0.000999999746697105,-0.0000005032919935595236,0.000999999746697105,0.0000005032919935595236
3548133.8923357218,1,0,0.0000002012056518732635,-0.00044855948478384573,-0.000999999798794348,-0.00000044855948478384574,0.000999999798794348,0.00000044855948478384574
3981071.7055349355,1,0,0.00000015982333688289846,-0.00039977907816617845,-0.0009999998401766632,-0.0000003997790781661785,0.0009999998401766632,0.00000039977907816617843
4466835.921509589,1,0,0.00000012695219322700123,-0.0003563034901739553,-0.0009999998730478067,-0.0000003563034901739553,0.000999999873047807,0.0000003563034901739553
5011872.336272676,1,0,0.00000010084171417340552,-0.0003175558281694011,-0.000999999899158286,-0.0000003175558281694011,0.0009999998991582857,0.0000003175558281694011
5623413.251903437,1,0,0.00000008010142246725877,-0.00028302193563577524,-0.0009999999198985776,-0.00000028302193563577523,0.0009999999198985776,0.00000028302193563577523
6309573.444801872,1,0,0.0000000636268225555481,-0.00025224356980342545,-0.0009999999363731775,-0.00000025224356980342543,0.0009999999363731775,0.00000025224356980342543
7079457.843841311,1,0,0.00000005054058230304983,-0.00022481232116745595,-0.0009999999494594177,-0.00000022481232116745597,0.0009999999494594177,0.00000022481232116745597
7943282.347242737,1,0,0.00000004014581194002536,-0.00020036419422725992,-0.000999999959854188,-0.00000020036419422725991,0.000999999959854188,0.00000020036419422725991
